Date,Open,High,Low,Close,Adj Close,Volume
2006-04-17,38086000000,38698000000,38086000000,38462000000,38462000000,0
2006-04-18,38466000000,39584000000,38466000000,39572000000,39572000000,0
2006-04-19,39581000000,40026000000,39492000000,39938000000,39938000000,0
2006-04-20,39941000000,40278000000,39435000000,39775000000,39775000000,0
2006-04-24,39775000000,40089000000,39616000000,39751000000,39751000000,0
2006-04-25,39753000000,39953000000,39577000000,39738000000,39738000000,0
2006-04-26,39739000000,40422000000,39739000000,40410000000,40410000000,0
2006-04-27,40410000000,40410000000,39631000000,39751000000,39751000000,0
2006-04-28,39752000000,40425000000,39752000000,40363000000,40363000000,0
2006-05-02,40365000000,41017000000,40277000000,41017000000,41017000000,0
2006-05-03,41016000000,41068000000,40574000000,40920000000,40920000000,0
2006-05-04,40926000000,41258000000,40894000000,40976000000,40976000000,0
2006-05-05,40976000000,41449000000,40976000000,41417000000,41417000000,0
2006-05-08,41417000000,41693000000,41095000000,41515000000,41515000000,0
2006-05-09,41505000000,42016000000,41446000000,41979000000,41979000000,0
2006-05-10,41981000000,41985000000,41418000000,41752000000,41752000000,0
2006-05-11,41758000000,42062000000,40777000000,40847000000,40847000000,0
2006-05-12,40847000000,40862000000,40121000000,40223000000,40223000000,0
2006-05-15,39688000000,40209000000,38871000000,39271000000,39271000000,0
2006-05-16,39271000000,39953000000,38923000000,39416000000,39416000000,0
2006-05-17,39411000000,39411000000,38099000000,38291000000,38291000000,0
2006-05-18,38290000000,38591000000,37807000000,37807000000,37807000000,0
2006-05-19,37820000000,38465000000,37325000000,37733000000,37733000000,0
2006-05-22,37732000000,37732000000,35664000000,36497000000,36497000000,0
2006-05-23,36498000000,37567000000,36099000000,36110000000,36110000000,0
2006-05-24,36104000000,36341000000,34911000000,35792000000,35792000000,0
2006-05-25,35794000000,37569000000,35794000000,37569000000,37569000000,0
2006-05-26,37574000000,38510000000,37574000000,38506000000,38506000000,0
2006-05-29,38634000000,38734000000,38055000000,38145000000,38145000000,0
2006-05-30,38149000000,38149000000,36413000000,36413000000,36413000000,0
2006-05-31,36414000000,37216000000,36362000000,36530000000,36530000000,0
2006-06-01,36531000000,37748000000,36502000000,37748000000,37748000000,0
2006-06-02,37750000000,38437000000,37411000000,37942000000,37942000000,0
2006-06-05,37939000000,37976000000,36670000000,36740000000,36740000000,0
2006-06-06,36740000000,36740000000,35673000000,36558000000,36558000000,0
2006-06-07,36559000000,36771000000,35262000000,35264000000,35264000000,0
2006-06-08,35262000000,35608000000,34360000000,35438000000,35438000000,0
2006-06-09,35438000000,36181000000,35075000000,35075000000,35075000000,0
2006-06-12,35083000000,35266000000,33537000000,33555000000,33555000000,0
2006-06-13,33535000000,33582000000,32824000000,32848000000,32848000000,0
2006-06-14,32848000000,33474000000,32057000000,32941000000,32941000000,0
2006-06-16,32942000000,34543000000,32942000000,34399000000,34399000000,0
2006-06-19,34407000000,34669000000,33549000000,33897000000,33897000000,0
2006-06-20,33897000000,34156000000,33568000000,33632000000,33632000000,0
2006-06-21,33632000000,34601000000,33216000000,34547000000,34547000000,0
2006-06-22,34544000000,34714000000,34226000000,34317000000,34317000000,0
2006-06-23,34314000000,34864000000,33880000000,34661000000,34661000000,0
2006-06-26,34663000000,34875000000,34584000000,34631000000,34631000000,0
2006-06-27,34631000000,35015000000,34368000000,34376000000,34376000000,0
2006-06-28,34374000000,34837000000,34349000000,34835000000,34835000000,0
2006-06-29,34835000000,36487000000,34835000000,36487000000,36487000000,0
2006-06-30,36487000000,37036000000,36359000000,36631000000,36631000000,0
2006-07-03,36629000000,37402000000,36534000000,37357000000,37357000000,0
2006-07-04,37358000000,37601000000,37188000000,37367000000,37367000000,0
2006-07-05,37366000000,37366000000,36304000000,36378000000,36378000000,0
2006-07-06,36380000000,36993000000,36380000000,36533000000,36533000000,0
2006-07-07,36541000000,36796000000,35850000000,36102000000,36102000000,0
2006-07-10,36107000000,36427000000,35863000000,36141000000,36141000000,0
2006-07-11,36137000000,36581000000,35590000000,36554000000,36554000000,0
2006-07-12,36555000000,36747000000,36189000000,36230000000,36230000000,0
2006-07-13,36221000000,36221000000,35344000000,35354000000,35354000000,0
2006-07-14,35353000000,35651000000,35001000000,35350000000,35350000000,0
2006-07-17,35344000000,35469000000,34814000000,34866000000,34866000000,0
2006-07-18,34871000000,35311000000,34591000000,35130000000,35130000000,0
2006-07-19,35136000000,36785000000,35136000000,36785000000,36785000000,0
2006-07-20,36786000000,37043000000,35847000000,35847000000,35847000000,0
2006-07-21,35847000000,36144000000,35307000000,35510000000,35510000000,0
2006-07-24,35525000000,36283000000,35525000000,36224000000,36224000000,0
2006-07-25,36223000000,36709000000,36011000000,36681000000,36681000000,0
2006-07-26,36681000000,36951000000,36475000000,36594000000,36594000000,0
2006-07-27,36595000000,37112000000,36593000000,36888000000,36888000000,0
2006-07-28,36886000000,37522000000,36841000000,37381000000,37381000000,0
2006-07-31,37381000000,37399000000,37077000000,37077000000,37077000000,0
2006-08-01,37077000000,37084000000,36536000000,36839000000,36839000000,0
2006-08-02,36843000000,37481000000,36834000000,37288000000,37288000000,0
2006-08-03,37288000000,37688000000,36893000000,37451000000,37451000000,0
2006-08-04,37462000000,38172000000,37462000000,37848000000,37848000000,0
2006-08-07,37845000000,37879000000,37518000000,37698000000,37698000000,0
2006-08-08,37699000000,38081000000,37532000000,37600000000,37600000000,0
2006-08-09,37602000000,38086000000,37180000000,37255000000,37255000000,0
2006-08-10,37255000000,37423000000,36929000000,37354000000,37354000000,0
2006-08-11,37354000000,37502000000,36886000000,36944000000,36944000000,0
2006-08-14,36950000000,37184000000,36490000000,36557000000,36557000000,0
2006-08-15,36559000000,37417000000,36559000000,37296000000,37296000000,0
2006-08-16,37296000000,37697000000,37210000000,37678000000,37678000000,0
2006-08-17,37451000000,38022000000,37402000000,37559000000,37559000000,0
2006-08-18,37559000000,37589000000,37178000000,37552000000,37552000000,0
2006-08-21,37550000000,37550000000,37139000000,37161000000,37161000000,0
2006-08-22,37161000000,37255000000,36511000000,36678000000,36678000000,0
2006-08-23,36675000000,36690000000,35512000000,35512000000,35512000000,0
2006-08-24,35514000000,35872000000,35123000000,35797000000,35797000000,0
2006-08-25,35795000000,36128000000,35586000000,35958000000,35958000000,0
2006-08-28,35958000000,36389000000,35649000000,36375000000,36375000000,0
2006-08-29,36384000000,36617000000,36013000000,36304000000,36304000000,0
2006-08-30,36303000000,36520000000,36125000000,36313000000,36313000000,144235600
2006-08-31,36313000000,36606000000,36013000000,36232000000,36232000000,0
2006-09-01,36232000000,37329000000,36232000000,37329000000,37329000000,98953400
2006-09-04,37330000000,37739000000,37287000000,37693000000,37693000000,83711000
2006-09-05,37693000000,37693000000,37271000000,37368000000,37368000000,104148400
2006-09-06,37368000000,37368000000,36710000000,36710000000,36710000000,99016400
2006-09-08,36705000000,36725000000,36495000000,36558000000,36558000000,80359000
2006-09-11,36561000000,36561000000,35666000000,35772000000,35772000000,158480500
2006-09-12,35777000000,36147000000,35626000000,36147000000,36147000000,127765600
2006-09-13,36147000000,36726000000,36034000000,36550000000,36550000000,142775800
2006-09-14,36548000000,36680000000,36087000000,36154000000,36154000000,91091800
2006-09-15,36154000000,36469000000,35878000000,36170000000,36170000000,81902200
2006-09-18,36168000000,36670000000,36134000000,36483000000,36483000000,68704200
2006-09-19,36477000000,36487000000,35555000000,35886000000,35886000000,115664900
2006-09-20,35889000000,36069000000,34928000000,35197000000,35197000000,153831600
2006-09-21,35199000000,35332000000,34624000000,34830000000,34830000000,198934000
2006-09-22,34829000000,34897000000,34397000000,34799000000,34799000000,131281600
2006-09-25,34803000000,35054000000,34127000000,34973000000,34973000000,126964700
2006-09-26,34972000000,35827000000,34972000000,35819000000,35819000000,121505000
2006-09-27,35817000000,36114000000,35611000000,36106000000,36106000000,152445400
2006-09-28,36105000000,36487000000,36031000000,36486000000,36486000000,124881800
2006-09-29,36486000000,36570000000,36261000000,36449000000,36449000000,128959000
2006-10-02,36450000000,37317000000,36450000000,37058000000,37058000000,149989200
2006-10-03,37057000000,37057000000,36438000000,36438000000,36438000000,121786200
2006-10-04,36441000000,37780000000,36441000000,37749000000,37749000000,201054100
2006-10-05,37750000000,38205000000,37624000000,37977000000,37977000000,147085300
2006-10-06,37976000000,37976000000,37493000000,37940000000,37940000000,88616400
2006-10-09,37930000000,38626000000,37736000000,38406000000,38406000000,111501800
2006-10-10,38411000000,38778000000,38407000000,38655000000,38655000000,119440600
2006-10-11,38652000000,38652000000,38091000000,38322000000,38322000000,87991000
2006-10-13,38328000000,39177000000,38328000000,38850000000,38850000000,112580700
2006-10-16,38852000000,39261000000,38672000000,39229000000,39229000000,110698100
2006-10-17,39226000000,39226000000,38672000000,38898000000,38898000000,88848400
2006-10-18,38898000000,39446000000,38557000000,38686000000,38686000000,208399200
2006-10-19,38595000000,38940000000,38561000000,38920000000,38920000000,0
2006-10-20,38919000000,38958000000,38440000000,38643000000,38643000000,71733800
2006-10-23,38643000000,39227000000,38273000000,39227000000,39227000000,101060500
2006-10-24,39227000000,39552000000,39091000000,39499000000,39499000000,74334200
2006-10-25,39499000000,39721000000,39341000000,39563000000,39563000000,122633500
2006-10-26,39563000000,39843000000,39365000000,39645000000,39645000000,98565000
2006-10-27,39640000000,39746000000,39293000000,39328000000,39328000000,115174800
2006-10-30,39327000000,39340000000,38681000000,38900000000,38900000000,94526000
2006-10-31,38900000000,39263000000,38880000000,39263000000,39263000000,166833700
2006-11-01,39279000000,40104000000,39279000000,39930000000,39930000000,151358200
2006-11-03,39930000000,40482000000,39924000000,40435000000,40435000000,160846800
2006-11-06,40437000000,41256000000,40437000000,41247000000,41247000000,171533400
2006-11-07,41247000000,41402000000,40863000000,41048000000,41048000000,129699300
2006-11-08,41042000000,41345000000,40624000000,41334000000,41334000000,142110100
2006-11-09,41334000000,41813000000,40657000000,40815000000,40815000000,140119600
2006-11-10,40815000000,40942000000,40322000000,40720000000,40720000000,163280500
2006-11-13,40724000000,40724000000,40038000000,40606000000,40606000000,116856500
2006-11-14,40607000000,41342000000,40607000000,41291000000,41291000000,141768700
2006-11-16,41296000000,41781000000,41153000000,41162000000,41162000000,157412900
2006-11-17,41164000000,41164000000,40482000000,41029000000,41029000000,0
2006-11-21,41029000000,41570000000,40986000000,41570000000,41570000000,118526800
2006-11-22,41579000000,41951000000,41308000000,41913000000,41913000000,109892600
2006-11-23,41913000000,42308000000,41913000000,42070000000,42070000000,91746800
2006-11-24,42071000000,42071000000,41468000000,41758000000,41758000000,92538600
2006-11-27,41758000000,41758000000,40722000000,40915000000,40915000000,0
2006-11-28,40915000000,41083000000,40428000000,41043000000,41043000000,0
2006-11-29,41041000000,41988000000,41041000000,41970000000,41970000000,146202300
2006-11-30,41971000000,42175000000,41497000000,41932000000,41932000000,141201400
2006-12-01,41930000000,42095000000,41192000000,41327000000,41327000000,84178800
2006-12-04,41329000000,42660000000,41282000000,42654000000,42654000000,86575800
2006-12-05,42652000000,43261000000,42636000000,43157000000,43157000000,97888000
2006-12-06,43158000000,43422000000,42831000000,43096000000,43096000000,87843400
2006-12-07,43097000000,43506000000,42758000000,42909000000,42909000000,81579600
2006-12-08,42910000000,43303000000,42818000000,42978000000,42978000000,66396000
2006-12-11,42968000000,43432000000,42968000000,43297000000,43297000000,99182800
2006-12-12,43297000000,43297000000,42794000000,43018000000,43018000000,94209200
2006-12-13,43026000000,43394000000,42783000000,43285000000,43285000000,194334000
2006-12-14,43291000000,43797000000,43291000000,43755000000,43755000000,155097100
2006-12-15,43755000000,44263000000,43447000000,43596000000,43596000000,140263800
2006-12-18,43596000000,44048000000,43400000000,43509000000,43509000000,138330400
2006-12-19,43038000000,43590000000,42891000000,43590000000,43590000000,0
2006-12-20,43592000000,43946000000,43379000000,43502000000,43502000000,111485500
2006-12-21,43505000000,43689000000,43100000000,43385000000,43385000000,80744600
2006-12-22,43385000000,43602000000,43125000000,43356000000,43356000000,65730800
2006-12-26,43356000000,43611000000,43356000000,43603000000,43603000000,47331000
2006-12-27,43602000000,44526000000,43602000000,44526000000,44526000000,101324300
2006-12-28,44526000000,44675000000,44373000000,44474000000,44474000000,113108900
2007-01-02,44476000000,45388000000,44476000000,45383000000,45383000000,75560200
2007-01-03,45379000000,45379000000,44284000000,44445000000,44445000000,122372800
2007-01-04,44442000000,44442000000,43623000000,44020000000,44020000000,86577000
2007-01-05,44019000000,44081000000,42160000000,42245000000,42245000000,164055000
2007-01-08,42249000000,42926000000,42144000000,42830000000,42830000000,114007100
2007-01-09,42831000000,43001000000,41438000000,42007000000,42007000000,112991900
2007-01-10,42001000000,42336000000,41266000000,42336000000,42336000000,110755900
2007-01-11,42336000000,43128000000,41940000000,42670000000,42670000000,84165800
2007-01-12,42669000000,43188000000,42526000000,43095000000,43095000000,96842400
2007-01-15,43095000000,43473000000,42875000000,42919000000,42919000000,45027800
2007-01-16,42916000000,42916000000,42415000000,42624000000,42624000000,93088400
2007-01-17,42626000000,42930000000,42252000000,42735000000,42735000000,73003000
2007-01-18,42741000000,43402000000,42407000000,42478000000,42478000000,97203200
2007-01-19,42477000000,43428000000,42477000000,43428000000,43428000000,0
2007-01-22,43431000000,43879000000,43183000000,43553000000,43553000000,70802000
2007-01-23,43549000000,44243000000,43432000000,44177000000,44177000000,109921200
2007-01-24,44177000000,44808000000,44041000000,44687000000,44687000000,114652200
2007-01-26,44687000000,44687000000,43870000000,44412000000,44412000000,102456700
2007-01-29,44414000000,44435000000,43555000000,43573000000,43573000000,95144400
2007-01-30,43573000000,44065000000,43508000000,44044000000,44044000000,110700200
2007-01-31,44046000000,44643000000,43824000000,44642000000,44642000000,131510700
2007-02-01,44642000000,45212000000,44642000000,44815000000,44815000000,120498200
2007-02-02,44815000000,45204000000,44597000000,44998000000,44998000000,106514300
2007-02-05,44999000000,45286000000,44851000000,45286000000,45286000000,79481200
2007-02-06,45287000000,45486000000,45038000000,45352000000,45352000000,109404000
2007-02-07,45352000000,45425000000,44488000000,44588000000,44588000000,114293700
2007-02-08,44585000000,44892000000,44070000000,44892000000,44892000000,124663400
2007-02-09,44894000000,45050000000,44180000000,44284000000,44284000000,133298700
2007-02-12,44286000000,44464000000,43850000000,43935000000,43935000000,94842200
2007-02-13,43932000000,45197000000,43932000000,45197000000,45197000000,116712300
2007-02-14,45198000000,46106000000,45198000000,45996000000,45996000000,232265300
2007-02-15,45996000000,46178000000,45734000000,45955000000,45955000000,140012600
2007-02-16,45955000000,45966000000,45614000000,45849000000,45849000000,107391100
2007-02-21,45849000000,46095000000,45558000000,46090000000,46090000000,73069000
2007-02-22,46097000000,46752000000,46097000000,46452000000,46452000000,121582000
2007-02-23,46452000000,46517000000,45813000000,46016000000,46016000000,76534200
