Date,Open,Close,High,Low
18/04/2019 10:30:00;30,87.3,76.3,88.3,74
18/04/2019 10:31:00;30,78.3,8.3,82.3,78
18/04/2019 10:32:00;30,82.3,87.3,87.3,81
18/04/2019 10:33:00;30,86.3,89.3,9.3,85
18/04/2019 10:34:00;30,89.3,92.3,93.3,87
18/04/2019 10:35:00;30,92.3,98.3,98.3,9
18/04/2019 10:36:00;30,96.3,93.3,97.3,9
18/04/2019 10:37:00;30,92.3,98.3,98.3,9
18/04/2019 10:38:00;30,99.31,4.31,4.3,99
18/04/2019 10:39:00;31,5.31,4.31,5.31,2
18/04/2019 10:40:00;31,5.31,12.31,13.31,5
18/04/2019 10:41:00;31,14.31,15.31,19.31,8
18/04/2019 10:42:00;31,14.31,17.31,17.31,1
18/04/2019 10:43:00;31,17.31,14.31,17.31,11
18/04/2019 10:44:00;31,13.31,11.31,16.31,8
18/04/2019 10:45:00;31,11.31,6.31,11.31,3
18/04/2019 10:46:00;31,4.31,6.31,7.31,2
18/04/2019 10:47:00;31,5.31,5.31,5.31,3
18/04/2019 10:48:00;31,4.3,98.31,4.3,96
18/04/2019 10:49:00;30,99.3,95.3,99.3,94
18/04/2019 10:50:00;30,95.3,98.3,99.3,95
18/04/2019 10:51:00;30,98.3,94.3,98.3,94
18/04/2019 10:52:00;30,94.3,9.3,94.3,9
18/04/2019 10:53:00;30,89.3,85.3,9.3,84
18/04/2019 10:54:00;30,84.3,8.3,84.3,8
18/04/2019 10:55:00;30,8.3,78.3,83.3,78
18/04/2019 10:56:00;30,8.3,79.3,81.3,78
18/04/2019 10:57:00;30,8.3,85.3,85.3,8
18/04/2019 10:58:00;30,85.3,84.3,87.3,81
18/04/2019 10:59:00;30,86.3,85.3,87.3,83
18/04/2019 11:00:00;30,85.3,83.3,86.3,82
18/04/2019 11:01:00;30,83.3,78.3,83.3,78
18/04/2019 11:02:00;30,77.3,78.3,8.3,76
18/04/2019 11:03:00;30,77.3,76.3,77.3,74
18/04/2019 11:04:00;30,76.3,77.3,78.3,75
18/04/2019 11:05:00;30,77.3,76.3,77.3,74
18/04/2019 11:06:00;30,75.3,79.3,79.3,75
18/04/2019 11:07:00;30,79.3,81.3,82.3,79
18/04/2019 11:08:00;30,81.3,82.3,84.3,79
18/04/2019 11:09:00;30,82.3,8.3,82.3,8
18/04/2019 11:10:00;30,78.3,75.3,78.3,75
18/04/2019 11:11:00;30,77.3,79.3,79.3,76
18/04/2019 11:12:00;30,78.3,78.3,81.3,76
18/04/2019 11:13:00;30,78.3,75.3,78.3,75
18/04/2019 11:14:00;30,76.3,75.3,78.3,74
18/04/2019 11:15:00;30,73.3,69.3,73.3,69
18/04/2019 11:16:00;30,68.3,69.3,71.3,66
18/04/2019 11:17:00;30,68.3,69.3,71.3,67
18/04/2019 11:18:00;30,69.3,69.3,7.3,68
18/04/2019 11:19:00;30,68.3,63.3,68.3,63
18/04/2019 11:20:00;30,64.3,62.3,64.3,61
18/04/2019 11:21:00;30,62.3,64.3,68.3,62
18/04/2019 11:22:00;30,68.3,63.3,68.3,63
18/04/2019 11:23:00;30,64.3,63.3,64.3,6
18/04/2019 11:24:00;30,63.3,57.3,63.3,57
18/04/2019 11:25:00;30,58.3,6.3,6.3,58
18/04/2019 11:26:00;30,61.3,61.3,62.3,61
18/04/2019 11:27:00;30,61.3,59.3,61.3,59
18/04/2019 11:28:00;30,59.3,61.3,61.3,59
18/04/2019 11:29:00;30,6.3,6.3,6.3,6
18/04/2019 11:30:00;30,61.3,66.3,67.3,61
18/04/2019 11:31:00;30,67.3,69.3,69.3,67
18/04/2019 11:32:00;30,69.3,66.3,7.3,66
18/04/2019 11:33:00;30,67.3,64.3,69.3,63
18/04/2019 11:34:00;30,64.3,62.3,65.3,62
18/04/2019 11:35:00;30,64.3,69.3,69.3,64
18/04/2019 11:36:00;30,68.3,63.3,68.3,63
18/04/2019 11:37:00;30,62.3,62.3,63.3,6
18/04/2019 11:38:00;30,62.3,66.3,66.3,62
18/04/2019 11:39:00;30,66.3,65.3,66.3,65
18/04/2019 11:40:00;30,65.3,58.3,65.3,56
18/04/2019 11:41:00;30,6.3,59.3,6.3,58
18/04/2019 11:42:00;30,58.3,61.3,62.3,58
18/04/2019 11:43:00;30,59.3,58.3,61.3,58
18/04/2019 11:44:00;30,58.3,59.3,6.3,56
18/04/2019 11:45:00;30,59.3,6.3,62.3,58
18/04/2019 11:46:00;30,62.3,62.3,65.3,61
18/04/2019 11:47:00;30,64.3,56.3,64.3,56
18/04/2019 11:48:00;30,58.3,63.3,63.3,58
18/04/2019 11:49:00;30,62.3,58.3,63.3,58
18/04/2019 11:50:00;30,61.3,61.3,62.3,58
18/04/2019 11:51:00;30,61.3,54.3,61.3,54
18/04/2019 11:52:00;30,55.3,58.3,58.3,55
18/04/2019 11:53:00;30,57.3,62.3,62.3,57
18/04/2019 11:54:00;30,6.3,55.3,6.3,55
18/04/2019 11:55:00;30,57.3,62.3,62.3,57
18/04/2019 11:56:00;30,62.3,62.3,64.3,6
18/04/2019 11:57:00;30,62.3,64.3,64.3,6
18/04/2019 11:58:00;30,64.3,62.3,65.3,61
18/04/2019 11:59:00;30,62.3,63.3,63.3,62
18/04/2019 12:00:00;30,63.3,65.3,65.3,61
18/04/2019 12:01:00;30,66.3,66.3,66.3,65
18/04/2019 12:02:00;30,65.3,65.3,67.3,63
18/04/2019 12:03:00;30,65.3,63.3,65.3,6
18/04/2019 12:04:00;30,64.3,63.3,64.3,61
18/04/2019 12:05:00;30,63.3,63.3,65.3,63
18/04/2019 12:06:00;30,63.3,63.3,64.3,61
18/04/2019 12:07:00;30,63.3,62.3,64.3,62
18/04/2019 12:08:00;30,62.3,6.3,63.3,59
18/04/2019 12:09:00;30,6.3,6.3,61.3,59
18/04/2019 12:10:00;30,6.3,59.3,6.3,57
18/04/2019 12:11:00;30,59.3,59.3,59.3,58
18/04/2019 12:12:00;30,59.3,61.3,63.3,59
18/04/2019 12:13:00;30,63.3,61.3,63.3,6
18/04/2019 12:14:00;30,61.3,61.3,61.3,6
18/04/2019 12:15:00;30,61.3,61.3,63.3,6
18/04/2019 12:16:00;30,61.3,65.3,65.3,61
18/04/2019 12:17:00;30,65.3,61.3,65.3,61
